Default window height,86,Терезенің бастапқы биіктігі,87,accerciser,po/kk.po
The window height value.,90,Терезенің биіктігі мәні.,91,accerciser,po/kk.po
Default window width,94,Терезенің бастапқы ені,95,accerciser,po/kk.po
The window width value.,98,Терезенің ені мәні.,99,accerciser,po/kk.po
Window height,142,Терезенің биіктігі,143,accerciser,po/kk.po
Window height value.,146,Терезенің биіктігі мәні.,147,accerciser,po/kk.po
Window width,150,Терезенің ені,151,accerciser,po/kk.po
Window width value.,154,Терезенің ені мәні.,155,accerciser,po/kk.po
Method,196,Тәсіл,197,accerciser,po/kk.po
Property,200,Қасиет,201,accerciser,po/kk.po
Value,204,Мәні,205,accerciser,po/kk.po
IPython Console,208,IPython консолі,209,accerciser,po/kk.po
Everything,228,Барлығы,229,accerciser,po/kk.po
Selected application,232,Таңдалған қолданба,233,accerciser,po/kk.po
Source,240,Қайнар көзі,241,accerciser,po/kk.po
Description,279,Сипаттамасы,280,accerciser,po/kk.po
Attributes,287,Атрибуттар,288,accerciser,po/kk.po
Show,291,Көрсету,292,accerciser,po/kk.po
Version,319,Нұсқасы,320,accerciser,po/kk.po
Size,340,Өлшемі,341,accerciser,po/kk.po
WIDGET,344,ВИДЖЕТ,345,accerciser,po/kk.po
Alpha,356,Мөлдір,357,accerciser,po/kk.po
Position,389,Орналасуы,390,accerciser,po/kk.po
_Image,397,_Сурет,398,accerciser,po/kk.po
Select All,405,Барлығын таңдау,406,accerciser,po/kk.po
_Selection,409,_Таңдалған,410,accerciser,po/kk.po
Summary:,421,Қорытынды:,422,accerciser,po/kk.po
Columns,433,Бағандар,434,accerciser,po/kk.po
Rows,437,Жолдар,438,accerciser,po/kk.po
Row,462,Жол,463,accerciser,po/kk.po
Column,466,Баған,467,accerciser,po/kk.po
_Table,474,Кес_те,475,accerciser,po/kk.po
Text,478,Мәтін,479,accerciser,po/kk.po
Current value,504,Ағымдағы мәні,505,accerciser,po/kk.po
unknown,524,белгісіз,525,accerciser,po/kk.po
Name,545,Аты,546,accerciser,po/kk.po
Start,553,Бастау,554,accerciser,po/kk.po
End,557,Соңы,558,accerciser,po/kk.po
Saving,641,Сақталуда,642,accerciser,po/kk.po
ERROR,653,ҚАТЕ,654,accerciser,po/kk.po
INFO,661,АҚПАРАТ,662,accerciser,po/kk.po
Basic,669,Қарапайым,670,accerciser,po/kk.po
_Contents,771,Құра_масы,772,accerciser,po/kk.po
Task,813,Тапсырма,814,accerciser,po/kk.po
Key,817,Кілт,818,accerciser,po/kk.po
Plugins,845,Плагиндер,846,accerciser,po/kk.po
Highlighting,853,Түспен ерекшелеу,854,accerciser,po/kk.po
Fill color:,869,Толтыру түсі:,870,accerciser,po/kk.po
Web site,893,Веб сайты,894,accerciser,po/kk.po
_Add Bookmark…,897,Бе_тбелгіні қосу…,898,accerciser,po/kk.po
_Edit Bookmarks…,905,Бе_тбелгілерді түзету…,906,accerciser,po/kk.po
Manage bookmarks.,909,Бетбелгілерді басқару.,910,accerciser,po/kk.po
Edit Bookmarks…,913,Бетбелгілерді түзету…,914,accerciser,po/kk.po
Title,917,Атауы,918,accerciser,po/kk.po
Application,921,Қолданба,922,accerciser,po/kk.po
Path,925,Жолы,926,accerciser,po/kk.po
Add Bookmark…,929,Бетбелгіні қосу…,930,accerciser,po/kk.po
Title:,933,Атауы:,934,accerciser,po/kk.po
Application:,937,Қолданба:,938,accerciser,po/kk.po
Path:,941,Жолы:,942,accerciser,po/kk.po
Plugin Errors,945,Плагин қателері,946,accerciser,po/kk.po
View,953,Көрініс,954,accerciser,po/kk.po
No view,957,Көрініс жоқ,958,accerciser,po/kk.po
_File,982,_Файл,983,accerciser,po/kk.po
_Edit,986,Тү_зету,987,accerciser,po/kk.po
_Bookmarks,991,Б_етбелгілер,992,accerciser,po/kk.po
_View,996,Тү_рі,997,accerciser,po/kk.po
_Help,1000,_Көмек,1001,accerciser,po/kk.po
Disk Usage Analyzer,23,Диск қолдануын анализдеушісі,24,baobab,po/kk.po
Check folder sizes and available disk space,27,Бумалар өлшемдерін және дисктердегі қолжетерлік орынды тексеру,28,baobab,po/kk.po
A simple application to keep your disk usage and available space under control.,31,Диск қолданылуын және қолжетерлік диск орнын бақылауға арналған қарапайым қолданба.,34,baobab,po/kk.po
"Disk Usage Analyzer can scan specific folders, storage devices and online accounts. It provides both a tree and a graphical representation showing the size of each folder, making it easy to identify where disk space is wasted.",39,"Диск қолданылуын анализдеуші көрсетілген бумаларды, сақтаушы құрылғыларды және желілік тіркелгілерді сканерлей алады. Ол бір уақытта ағаш көрінісін және диск орны қайда қолданылғанын анықтауды ыңғайлы қылатын әр буманың өлшемі берілген графикалық көріністі көрсетеді.",43,baobab,po/kk.po
Devices and Locations,50,Құрылғылар мен орындар,51,baobab,po/kk.po
The GNOME Project,54,GNOME жобасы,55,baobab,po/kk.po
storage;space;cleanup;,59,storage;space;cleanup;сақтауыш;орын;тазарту;,60,baobab,po/kk.po
Excluded locations URIs,63,Есепке алынбайтын орындар URI-лері,64,baobab,po/kk.po
A list of URIs for locations to be excluded from scanning.,67,Сканерлеуден тыс қалдыру үшін орналасулардың URI-лер тізімі.,68,baobab,po/kk.po
Active Chart,71,Белсенді график,72,baobab,po/kk.po
Which type of chart should be displayed.,75,Графиктің қай түрі көрсетілуі тиіс.,76,baobab,po/kk.po
Window size,79,Терезе өлшемі,80,baobab,po/kk.po
The initial size of the window,83,Терезенің бастапқы өлшемі,84,baobab,po/kk.po
Window state,87,Терезе күйі,88,baobab,po/kk.po
The GdkWindowState of the window,91,Терезенің GdkWindowState күйі,92,baobab,po/kk.po
General,96,Жал_пы,97,baobab,po/kk.po
Show help,101,Көмекті көрсету,102,baobab,po/kk.po
Show / Hide primary menu,106,Басты мәзірді көрсету/жасыру,107,baobab,po/kk.po
Quit,111,Шығу,112,baobab,po/kk.po
Show Keyboard Shortcuts,116,Пернетақта жарлықтарын көрсету,117,baobab,po/kk.po
Go back to location list,121,Орналасулар тізіміне оралу,122,baobab,po/kk.po
Scanning,126,Сканерлеу,127,baobab,po/kk.po
Scan folder,131,Буманы сканерлеу,132,baobab,po/kk.po
Rescan current location,136,Ағымдағы орналасуды қайта сканерлеу,137,baobab,po/kk.po
_Open Folder,140,Буманы а_шу,141,baobab,po/kk.po
_Copy Path to Clipboard,144,_Жолды алмасу буферіне көшіріп алу,145,baobab,po/kk.po
Mo_ve to Trash,148,Қоқ_ыс шелегіне тастау,149,baobab,po/kk.po
Go to _parent folder,152,Аталық бумасына ө_ту,153,baobab,po/kk.po
Zoom _in,156,Ү_лкейту,157,baobab,po/kk.po
Zoom _out,160,Кі_шірейту,161,baobab,po/kk.po
Folder,164,Бума,165,baobab,po/kk.po
Size,168,Өлшемі,169,baobab,po/kk.po
Contents,172,Құрамасы,173,baobab,po/kk.po
Modified,176,Өзгертілген,177,baobab,po/kk.po
This Computer,180,Бұл компьютер,181,baobab,po/kk.po
Remote Locations,184,Қашықтағы орналасулар,185,baobab,po/kk.po
Preferences,188,Баптаулар,189,baobab,po/kk.po
Scan Folder…,192,Буманы сканерлеу…,193,baobab,po/kk.po
Clear Recent List,196,Жуырдағылар тізімін тазарту,197,baobab,po/kk.po
Keyboard _Shortcuts,200,П_ернетақта жарлықтары,201,baobab,po/kk.po
_Help,204,Кө_мек,205,baobab,po/kk.po
_About Disk Usage Analyzer,208,Диск қолдануын анализдеушісі тур_алы,209,baobab,po/kk.po
Go back to location list,212,Орындар тізіміне оралу,213,baobab,po/kk.po
Rescan current location,216,Ағымдағы орынды қайта сканерлеу,217,baobab,po/kk.po
Close,220,Жабу,221,baobab,po/kk.po
Rings Chart,224,Сақиналы график,225,baobab,po/kk.po
Treemap Chart,228,Ағаш тектес график,229,baobab,po/kk.po
Do not skip directories on different file systems. Ignored if DIRECTORY is not specified.,232,"Әр түрлі файлдық жүйелердегі бумаларды өткізіп жібермеу. DIRECTORY көрсетілмеген болса, елемейді.",235,baobab,po/kk.po
Print version information and exit,240,Нұсқа ақпаратын шығару және шығу,241,baobab,po/kk.po
%d item,245,%d нәрсе,247,baobab,po/kk.po
Unknown,251,Белгісіз,252,baobab,po/kk.po
Today,256,Бүгін,257,baobab,po/kk.po
%lu day,262,%lu күн,264,baobab,po/kk.po
%lu month,269,%lu ай,271,baobab,po/kk.po
%lu year,276,%lu жыл,278,baobab,po/kk.po
%s Total,282,%s барлығы,283,baobab,po/kk.po
%s Available,287,%s қолжетерлік,288,baobab,po/kk.po
%s Used,294,%s қолданылуда,295,baobab,po/kk.po
Unmounted,298,Тіркелмеген,299,baobab,po/kk.po
Home folder,302,Үй бумасы,303,baobab,po/kk.po
Computer,306,Компьютер,307,baobab,po/kk.po
Locations to ignore,310,Елемеуге арналған орындар,311,baobab,po/kk.po
Select Location to Ignore,315,Елемеу үшін орынды таңдау,316,baobab,po/kk.po
_Cancel,319,Ба_с тарту,320,baobab,po/kk.po
_Open,323,А_шу,324,baobab,po/kk.po
Add location…,327,Орналасуды қосу…,328,baobab,po/kk.po
Select Folder,331,Буманы таңдау,332,baobab,po/kk.po
Recursively analyze mount points,335,Тіркеу нүктелерін рекурсивті анализдеу,336,baobab,po/kk.po
Could not analyze volume.,339,Томды анализдеу мүмкін емес.,340,baobab,po/kk.po
Failed to show help,343,Көмекті көрсету сәтсіз аяқталды,344,baobab,po/kk.po
A graphical tool to analyze disk usage.,347,Диск қолдануын анализдеу үшін графикалық қолданба.,348,baobab,po/kk.po
Failed to open file,355,Файлды ашу сәтсіз аяқталды,356,baobab,po/kk.po
Failed to move file to the trash,359,Файлды қоқыс шелегіне тастау сәтсіз аяқталды,360,baobab,po/kk.po
Devices & Locations,363,Құрылғылар және орналасулар,364,baobab,po/kk.po
Could not scan folder “%s”,368,"\""%s\"" бумасын сканерлеу мүмкін емес",369,baobab,po/kk.po
