none,154,कुनै पनि होइन,155,NetworkManager,po/ne.po
Accerciser,22,एसस्रसाएइजर,23,accerciser,po/ne.po
Give your application an accessibility workout,45,तपाईँको अनुप्रयोगलाई पहुँच कसरत दिनुहोस्,46,accerciser,po/ne.po
A list of plugins that are disabled by default.,59,अक्षम पारिएको प्लगइन सुची।.,60,accerciser,po/ne.po
Highlight fill color,72,रङ भर्नुहोस्,73,accerciser,po/ne.po
The window height value.,116,सञ्झ्यालको उचाइ.,117,accerciser,po/ne.po
The window width value.,125,सञ्झ्यालको चौडाइ मान.,126,accerciser,po/ne.po
Window height,176,सञ्झ्यालको उचाइ,177,accerciser,po/ne.po
Window height value.,180,सञ्झ्यालको उचाइ मान.,181,accerciser,po/ne.po
Window width,184,सञ्झ्यालको  चौडाई,185,accerciser,po/ne.po
Window width value.,188,सञ्झ्यालको चौडाइ मान.,189,accerciser,po/ne.po
Method,214,विधि,215,accerciser,po/ne.po
Property,218,गुण,219,accerciser,po/ne.po
Value,222,मान,223,accerciser,po/ne.po
IPython Console,226,पाइथन कन्सोल,227,accerciser,po/ne.po
Event monitor,234,घटना निगरानि,235,accerciser,po/ne.po
_Monitor Events,238,घटनाहरू निगरानि गर्नुहोस्,239,accerciser,po/ne.po
C_lear Selection,242,चयन खाली गर्नुहोस्,243,accerciser,po/ne.po
Everything,246,सबै,247,accerciser,po/ne.po
Source,260,स्रोत,261,accerciser,po/ne.po
Name,268,नाम,269,accerciser,po/ne.po
Full Name,272,पूरानाम,273,accerciser,po/ne.po
Event Monitor,276,घटना निगरानि,277,accerciser,po/ne.po
Child count,298,शाखा गणना,299,accerciser,po/ne.po
0,305,०,306,accerciser,po/ne.po
(no description),310,(वर्णन छैन),311,accerciser,po/ne.po
Description,316,विवरण,317,accerciser,po/ne.po
(no ID),320,(आई डी-छैन),321,accerciser,po/ne.po
ID,324,आईडी,325,accerciser,po/ne.po
States,328,राज्य,329,accerciser,po/ne.po
Attributes,333,बिषेषताहरु,334,accerciser,po/ne.po
Show,337,देखाउने,338,accerciser,po/ne.po
Relations,341,सम्बन्ध,342,accerciser,po/ne.po
_Accessible,345,पहुँचयोग्य,346,accerciser,po/ne.po
Key binding,349,कुञ्जी बन्धन,350,accerciser,po/ne.po
Perform action,353,कार्य निष्पादन गर्नुहोस्,354,accerciser,po/ne.po
Acti_on,357,कार्य,358,accerciser,po/ne.po
Toolkit,361,टूलकिट,362,accerciser,po/ne.po
Version,365,संस्करण,366,accerciser,po/ne.po
Ap_plication,369,अनुप्रयोग,370,accerciser,po/ne.po
Col_lection,373,सग्रह,374,accerciser,po/ne.po
"0, 0",383,"०,०",384,accerciser,po/ne.po
Size,392,परिमाण,393,accerciser,po/ne.po
WIDGET,396,औजार,397,accerciser,po/ne.po
Layer,400,तह,401,accerciser,po/ne.po
Alpha,409,अल्फा,410,accerciser,po/ne.po
Co_mponent,418,अवयव,419,accerciser,po/ne.po
Des_ktop,422,डेकस्टप,423,accerciser,po/ne.po
Locale:,426,लोकेल :,427,accerciser,po/ne.po
_Document,430,कागजात,431,accerciser,po/ne.po
Position,444,अवस्था,445,accerciser,po/ne.po
Locale,448,लोकेल,449,accerciser,po/ne.po
_Image,452,सबै छविहरू,453,accerciser,po/ne.po
Select All,461,सबै छान्नुहोस्,462,accerciser,po/ne.po
_Selection,465,चयन,466,accerciser,po/ne.po
Caption:,484,शिर्षकः,485,accerciser,po/ne.po
